trans_hour,trans_day,trans_month,trans_year,category,upi_number,age,trans_amt,state,fraud_risk
8,2,2,2024,2,9957000925,23,3584.6,24,1
0,18,5,2023,2,9957000602,57,8012.79,2,1
22,22,12,2024,11,9957000440,33,8060.03,27,0
1,19,9,2024,1,9957000838,52,3362.17,12,1
2,10,9,2023,3,9957000571,40,5913.18,22,1
8,12,10,2022,13,9957000880,32,6757.61,9,1
6,12,1,2024,8,9957000262,31,7324.27,4,0
6,11,7,2024,4,9957000579,42,3689.25,28,1
16,8,11,2022,8,9957000024,47,4883.64,27,0
18,15,6,2024,14,9957000031,31,897.09,24,0
7,24,9,2024,3,9957000618,30,3614.07,26,1
18,25,6,2022,3,9957000011,22,459.2,27,0
17,25,1,2024,8,9957000222,22,9740.39,23,0
22,5,8,2024,6,9957000821,52,1350.71,10,1
17,17,10,2022,8,9957000297,30,5045.07,16,0
21,25,6,2024,7,9957000055,52,9230.79,24,0
10,23,6,2022,1,9957000543,32,8796.03,22,1
17,11,5,2022,7,9957000210,46,8310.84,8,0
6,17,11,2022,1,9957000605,50,1279.66,15,1
17,6,10,2023,10,9957000693,44,9428.37,26,1
0,11,9,2024,13,9957000663,21,2024.77,19,1
8,20,7,2023,5,9957000867,47,5932.48,7,1
17,20,10,2022,4,9957000071,55,880.53,15,0
6,6,11,2024,6,9957000544,34,8121.92,13,1
6,24,11,2022,3,9957000108,47,5658.92,5,0
3,12,11,2022,13,9957000494,55,7121.01,20,0
20,17,8,2022,9,9957000591,58,7956.72,28,1
2,11,9,2022,7,9957000742,34,9264.16,18,1
12,4,9,2022,13,9957000293,41,1406.95,7,0
11,5,5,2023,9,9957000290,37,2471.22,24,0
16,7,5,2022,6,9957000653,55,4357,13,1
5,17,8,2022,2,9957000040,22,9160.69,19,0
17,4,6,2024,2,9957000590,26,7731.01,22,1
14,23,1,2023,12,9957000308,44,3235.76,14,0
10,4,8,2023,14,9957000680,39,627.99,13,1
19,12,5,2024,4,9957000067,22,656.13,25,0
16,9,7,2023,6,9957000276,56,1060.54,14,0
18,28,1,2022,10,9957000068,34,1833.13,9,0
9,7,12,2023,2,9957000319,21,3816.43,28,0
4,19,3,2024,9,9957000549,48,4423.78,16,1
12,24,12,2022,1,9957000999,63,5537.27,25,1
2,3,11,2024,4,9957000715,21,5265.87,5,1
18,18,10,2023,12,9957000754,51,4559.07,25,1
19,12,8,2022,6,9957000328,25,9656.6,14,0
18,24,10,2022,9,9957000383,33,2365.73,17,0
17,26,6,2024,6,9957000452,32,994.08,10,0
22,23,9,2024,10,9957000523,25,3145.24,17,1
19,27,2,2024,10,9957000219,60,1488.88,6,0
2,13,1,2023,8,9957000788,62,9934.73,26,1
2,13,3,2023,14,9957000437,34,9238.8,18,0
11,9,10,2024,9,9957000765,31,8346.86,1,1
5,25,12,2023,1,9957000089,64,8997.15,11,0
7,21,12,2022,3,9957000064,56,2173.33,10,0
6,3,12,2024,6,9957000827,58,9979.9,28,1
4,20,4,2022,6,9957000717,55,2405.86,8,1
19,27,6,2023,11,9957000352,22,3711.3,27,0
19,20,6,2023,4,9957000937,34,7091.49,7,1
0,14,8,2023,9,9957000257,50,9103,20,0
15,19,5,2023,2,9957000636,40,5225.73,26,1
12,10,7,2023,13,9957000645,33,8375.07,6,1
3,7,6,2024,4,9957000555,30,5488.35,14,1
19,13,10,2023,7,9957000960,41,4687.17,5,1
0,22,5,2024,13,9957000169,41,109.95,24,0
18,12,8,2024,6,9957000918,38,3639.4,6,1
12,28,3,2023,6,9957000529,64,5503.7,7,1
11,4,10,2024,4,9957000824,23,468.38,24,1
18,19,1,2023,4,9957000986,39,4883.94,25,1
9,25,3,2024,12,9957000817,48,5796.03,8,1
16,10,11,2024,14,9957000087,21,4272.98,8,0
23,10,8,2022,13,9957000433,60,7696.61,23,0
18,10,1,2023,14,9957000185,33,9662.78,23,0
7,9,9,2023,9,9957000979,50,2863.45,22,1
14,20,10,2023,7,9957000535,55,4298.48,19,1
2,14,12,2022,9,9957000295,51,3463.54,15,0
17,3,7,2023,9,9957000893,43,3956.43,26,1
3,25,6,2023,13,9957000426,39,9193.36,3,0
6,11,7,2022,7,9957000714,23,6093.82,17,1
1,27,11,2024,1,9957000261,50,2099.35,5,0
13,11,7,2023,10,9957000238,33,8856.09,10,0
11,26,6,2023,13,9957000560,61,6858.85,8,1
14,9,10,2024,10,9957000584,45,3506.3,26,1
13,27,11,2022,14,9957000446,57,7970.78,28,0
20,7,4,2023,5,9957000868,27,886.8,8,1
22,14,5,2022,3,9957000801,57,4194.03,28,1
7,19,2,2022,11,9957000600,60,4323.95,13,1
13,25,5,2022,7,9957000850,31,208.41,28,1
8,22,2,2022,2,9957000266,27,703.74,2,0
3,26,8,2024,7,9957000996,28,8849.59,5,1
18,21,9,2023,8,9957000530,27,4011.7,23,1
11,22,10,2024,2,9957000056,27,7560.84,20,0
3,24,11,2024,7,9957000121,24,1117.26,23,0
17,6,6,2024,11,9957000216,44,1396.66,23,0
12,23,2,2024,2,9957000026,29,2738.24,20,0
11,15,1,2024,13,9957000073,32,821.92,28,0
3,14,11,2023,12,9957000045,39,5196.5,19,0
10,3,7,2024,6,9957000248,62,1677.5,10,0
22,26,1,2022,13,9957000722,23,3041.35,22,1
19,14,9,2024,4,9957000282,42,6463.38,6,0
11,13,9,2022,5,9957000894,34,893.28,27,1
16,6,2,2024,7,9957000915,55,9431.37,27,1
5,11,11,2023,7,9957000811,62,980.24,5,1
5,15,7,2022,9,9957000245,21,8737.52,6,0
12,5,8,2022,12,9957000823,61,5417.27,16,1
2,8,3,2022,9,9957000322,64,2950.98,24,0
9,13,6,2023,12,9957000644,30,5070.1,9,1
18,18,10,2023,3,9957000159,38,1533.26,9,0
4,16,6,2022,10,9957000978,44,5774.21,17,1
11,21,8,2022,11,9957000430,45,1416.86,4,0
12,9,2,2023,9,9957000942,58,2117.24,16,1
5,22,12,2022,8,9957000463,52,5111.71,21,0
13,28,6,2024,13,9957000310,18,7628.06,17,0
15,17,2,2024,5,9957000698,62,6083.17,7,1
11,14,11,2024,3,9957000061,50,5209.41,12,0
13,7,5,2023,14,9957000885,51,2811.67,28,1
11,15,2,2022,14,9957000596,59,8938.27,1,1
19,10,1,2023,4,9957000768,41,5334.94,19,1
3,19,4,2022,6,9957000650,64,9144.13,8,1
23,22,9,2022,7,9957000651,54,2197.08,17,1
1,17,10,2022,6,9957000866,49,5783.85,6,1
16,11,11,2024,6,9957000669,18,2129.77,3,1
15,12,9,2022,2,9957000299,44,4483.47,20,0
10,12,9,2023,3,9957000690,52,1903.52,4,1
20,14,4,2023,14,9957000315,20,9238.06,7,0
4,12,9,2022,10,9957000311,59,7791.75,23,0
17,22,12,2024,8,9957000362,18,9792.73,11,0
13,25,2,2024,10,9957000480,41,573.53,10,0
8,2,8,2023,1,9957000111,37,4527.61,8,0
3,20,4,2023,11,9957000990,19,2420,19,1
17,13,6,2023,14,9957000487,22,5788.58,28,0
21,3,3,2022,4,9957000364,48,2331.4,21,0
5,21,3,2023,6,9957000255,39,2329.12,8,0
10,1,4,2024,4,9957000260,41,9523.22,26,0
20,24,6,2023,14,9957000803,31,4562.61,25,1
10,20,1,2024,1,9957000678,21,4025.54,28,1
10,26,7,2022,5,9957000495,32,3569.75,20,0
21,11,3,2024,14,9957000671,18,2040.91,27,1
14,13,9,2023,8,9957000378,60,7792.64,22,0
21,23,12,2024,14,9957000527,48,2423.98,8,1
17,13,8,2023,13,9957000846,57,6483.16,11,1
13,21,11,2024,12,9957000138,18,1368.69,16,0
13,11,3,2023,8,9957000356,26,9134.24,16,0
13,25,12,2022,5,9957000366,34,4359.58,22,0
4,9,3,2024,3,9957000943,35,2037.61,22,1
16,8,9,2023,1,9957000750,64,1162.85,15,1
0,20,4,2023,8,9957000949,23,2483.9,20,1
15,5,4,2023,2,9957000830,19,1644.85,11,1
7,1,6,2024,5,9957000657,43,4307.75,8,1
6,2,2,2024,2,9957000200,60,729.9,19,0
18,8,9,2022,9,9957000214,25,6369.11,13,0
10,11,2,2023,4,9957000409,19,518.22,11,0
11,13,9,2022,3,9957000333,46,6594.15,9,0
1,11,3,2023,12,9957000209,30,9244.46,6,0
11,6,7,2024,3,9957000614,42,3856.5,8,1
4,11,3,2022,1,9957000079,57,7583.8,24,0
11,5,4,2022,2,9957000030,37,4867.76,2,0
15,13,2,2024,4,9957000536,25,3972.95,11,1
14,20,1,2023,10,9957000696,54,8879.51,1,1
9,18,6,2024,3,9957000558,39,3287.73,17,1
8,10,3,2022,8,9957000837,55,1210.65,10,1
5,22,12,2024,3,9957000597,59,8001.57,3,1
21,7,5,2022,3,9957000166,46,215.94,12,0
20,16,5,2022,1,9957000919,23,1848.6,1,1
0,20,4,2024,1,9957000496,55,6925.8,2,0
14,6,4,2023,11,9957000825,49,3724.44,6,1
5,9,8,2022,11,9957000066,54,3980.55,16,0
6,3,10,2024,13,9957000142,57,8950.98,24,0
19,10,8,2022,13,9957000926,60,8766.71,8,1
11,20,9,2022,8,9957000828,18,5921.3,6,1
16,10,7,2023,1,9957000656,45,2463.45,23,1
13,5,12,2023,8,9957000332,53,1457.08,9,0
8,4,3,2024,4,9957000665,64,6732.13,24,1
10,18,1,2022,3,9957000250,46,744.2,21,0
0,11,9,2023,4,9957000908,28,2713.28,23,1
22,23,7,2024,3,9957000709,28,546.95,23,1
10,21,4,2024,9,9957000306,58,1655.42,1,0
1,5,1,2023,7,9957000735,28,5871.04,15,1
1,2,2,2022,3,9957000976,48,315.12,23,1
19,17,9,2022,14,9957000050,32,6915.97,26,0
18,8,8,2024,14,9957000897,42,600.4,14,1
20,4,8,2024,3,9957000003,38,7840.54,27,0
16,14,8,2023,12,9957000545,42,2434.47,21,1
15,2,12,2022,5,9957000351,41,4576.36,19,0
10,4,10,2022,10,9957000905,63,6509.14,6,1
1,6,11,2022,13,9957000537,30,4641.53,1,1
7,21,3,2022,14,9957000345,61,6237.7,7,0
3,16,3,2024,12,9957000995,28,6313.46,18,1
11,4,10,2022,3,9957000482,31,5048.06,25,0
0,8,3,2024,12,9957000576,32,1598.87,22,1
1,24,4,2024,1,9957000034,30,5037.69,14,0
14,12,8,2023,6,9957000032,47,9762.34,16,0
23,6,11,2023,12,9957000232,43,5243.98,13,0
23,14,11,2023,6,9957000964,49,6213.8,4,1
8,18,5,2023,4,9957000193,40,5164.79,26,0
15,26,3,2023,14,9957000334,58,1645.28,18,0
18,12,9,2022,10,9957000004,45,9219.24,25,0
20,23,12,2023,6,9957000205,52,8832.09,3,0
20,4,4,2023,5,9957000515,52,7410.28,14,1
5,23,1,2023,12,9957000800,60,4082.3,14,1
19,15,11,2022,9,9957000307,37,9188.88,17,0
0,3,5,2023,11,9957000110,51,3301.58,17,0
1,13,12,2024,11,9957000431,41,2354.14,2,0
12,27,9,2022,1,9957000078,41,3197.45,21,0
8,21,11,2023,10,9957000085,33,6415.94,14,0
22,3,1,2024,1,9957000287,32,1650.18,28,0
0,11,6,2022,13,9957000083,35,5348.4,14,0
11,9,9,2022,1,9957000992,62,8158.89,13,1
0,26,12,2022,6,9957000790,42,579.36,27,1
15,4,2,2024,11,9957000895,60,9659.64,5,1
12,7,2,2022,5,9957000399,61,5557.39,5,0
22,11,12,2023,9,9957000324,27,1239.25,17,0
0,19,8,2023,8,9957000520,48,8167.56,11,1
11,25,7,2024,3,9957000917,23,4351.84,13,1
23,25,5,2023,8,9957000923,50,7030.52,5,1
18,20,5,2022,9,9957000006,58,6944.69,26,0
5,17,2,2024,3,9957000732,32,3362.42,3,1
22,1,4,2023,8,9957000466,58,5519.6,1,0
22,9,8,2022,6,9957000098,49,6014.88,27,0
12,8,2,2022,9,9957000267,40,6874.74,26,0
10,12,5,2024,14,9957000358,38,7331.44,23,0
1,6,1,2024,5,9957000869,59,7192.55,16,1
12,2,9,2022,11,9957000799,44,7296.58,3,1
9,27,4,2023,10,9957000381,56,2251.9,24,0
20,13,5,2023,2,9957000632,21,3819.31,9,1
11,19,7,2023,14,9957000382,53,5226.14,26,0
9,17,12,2024,1,9957000491,49,2606.21,2,0
1,3,11,2024,5,9957000119,34,9409.74,9,0
10,3,3,2023,6,9957000901,42,3914.21,11,1
20,1,11,2024,1,9957000251,50,6207.35,22,0
4,10,12,2024,5,9957000524,19,9421.39,18,1
23,26,6,2024,2,9957000010,52,7923.66,25,0
9,9,4,2022,14,9957000197,50,1643.06,16,0
6,6,2,2022,12,9957000604,26,8871.18,23,1
19,7,5,2022,7,9957000082,45,774.41,26,0
19,23,2,2024,14,9957000784,42,8733.83,20,1
7,25,6,2022,12,9957000588,32,2486.77,14,1
6,15,6,2024,9,9957000798,41,9451.88,25,1
9,21,3,2023,12,9957000240,30,5023.88,10,0
21,12,12,2022,6,9957000291,29,620.47,14,0
11,9,9,2022,1,9957000212,62,8990.3,25,0
2,20,4,2024,8,9957000718,56,1710.54,7,1
3,17,9,2024,6,9957000360,45,8602.01,22,0
5,25,10,2022,8,9957000450,25,8224.47,20,0
18,1,3,2022,5,9957000228,40,4388.14,14,0
22,15,10,2024,12,9957000951,43,3271.13,28,1
17,11,10,2024,3,9957000947,59,2145.77,2,1
14,28,11,2022,12,9957000797,44,6939.43,8,1
2,11,4,2022,10,9957000502,61,8447.03,11,1
13,2,4,2024,3,9957000465,63,8603.95,8,0
20,8,3,2023,6,9957000363,46,3701.5,24,0
14,4,4,2024,6,9957000469,62,7370.24,7,0
0,5,1,2022,4,9957000936,63,7384.19,1,1
9,17,8,2024,9,9957000429,29,4956.2,27,0
2,25,11,2024,13,9957000008,32,364.42,15,0
8,10,9,2024,6,9957000156,54,4351.91,7,0
2,3,1,2022,9,9957000542,48,2610.89,5,1
16,16,1,2022,6,9957000441,37,2107.32,12,0
15,13,2,2023,12,9957000483,61,1214.52,20,0
15,16,10,2024,14,9957000423,46,8778.94,24,0
22,14,6,2024,10,9957000779,29,2232.11,18,1
1,19,9,2022,8,9957000950,35,1111.16,24,1
5,20,7,2022,11,9957000335,45,9482.13,24,0
8,6,6,2024,12,9957000577,27,957.55,18,1
10,16,12,2022,4,9957000935,50,9815.24,23,1
5,12,11,2024,5,9957000568,40,8994.97,15,1
1,9,11,2023,6,9957000595,20,3048.08,7,1
5,20,11,2022,13,9957000531,20,3931.12,27,1
21,17,6,2022,1,9957000582,38,9005.15,15,1
12,8,8,2022,9,9957000708,59,9325.34,13,1
14,3,10,2023,7,9957000449,60,3505.56,7,0
8,27,9,2024,13,9957000454,41,6316.44,1,0
9,7,3,2023,3,9957000229,45,7528.28,13,0
5,2,11,2024,7,9957000353,43,7375.8,20,0
13,21,8,2023,11,9957000729,22,2888.9,16,1
6,21,6,2022,6,9957000213,31,5874.8,22,0
5,4,1,2022,6,9957000080,20,8937.09,18,0
15,9,8,2022,2,9957000149,25,5071.86,12,0
4,21,8,2024,7,9957000303,26,1512.73,8,0
18,2,9,2024,7,9957000629,57,484.05,4,1
15,12,7,2022,8,9957000778,28,6212.18,15,1
14,5,4,2024,5,9957000507,38,6096.75,23,1
0,15,2,2023,1,9957000343,38,8532.15,27,0
5,5,10,2022,12,9957000486,38,7829.85,20,0
20,2,8,2024,3,9957000712,32,5512.43,13,1
20,22,11,2024,1,9957000134,47,5378.74,13,0
9,8,3,2022,12,9957000704,45,4175.16,25,1
0,9,6,2024,7,9957000312,45,2305.38,18,0
9,1,12,2022,8,9957000723,61,1010.21,10,1
16,10,8,2024,5,9957000630,25,7147.93,10,1
15,7,2,2023,5,9957000001,54,9201.08,1,0
21,24,9,2024,9,9957000317,32,8922.59,19,0
0,10,9,2024,8,9957000707,48,809.7,6,1
16,13,1,2024,7,9957000548,55,6942.57,27,1
19,24,3,2023,4,9957000873,24,1793.4,19,1
2,26,6,2024,9,9957000533,35,9152.19,25,1
15,3,3,2024,4,9957000478,36,7732.53,12,0
23,25,4,2023,9,9957000405,19,1209.52,17,0
1,2,2,2023,10,9957000173,54,551.71,11,0
16,21,8,2024,10,9957000126,23,8383.83,8,0
8,15,10,2022,7,9957000395,25,7350.7,6,0
10,12,4,2022,10,9957000421,32,9357.01,28,0
8,27,3,2023,12,9957000553,35,9027.01,16,1
20,20,4,2022,6,9957000904,26,8194.68,13,1
0,28,8,2024,9,9957000091,21,3828.65,17,0
2,10,5,2022,2,9957000940,63,9048.63,25,1
14,12,10,2024,5,9957000182,40,5871.9,3,0
20,7,8,2023,6,9957000275,33,4110.43,4,0
1,2,2,2022,3,9957000896,41,4094.47,8,1
21,3,5,2022,9,9957000070,56,7678.63,3,0
1,28,12,2023,11,9957000292,46,8810.2,15,0
15,9,5,2023,14,9957000132,22,958.67,22,0
3,12,8,2023,6,9957000301,22,5197.57,18,0
5,16,8,2023,5,9957000425,43,7462.99,14,0
1,9,1,2024,2,9957000327,29,4676.92,10,0
12,15,7,2022,10,9957000145,57,2166.51,26,0
22,7,10,2024,5,9957000424,60,5342.09,22,0
4,21,8,2022,6,9957000581,53,7003.35,14,1
4,16,1,2022,3,9957000136,57,6198.42,10,0
22,12,1,2024,5,9957000451,43,5058.65,23,0
17,16,3,2023,10,9957000165,60,2310.79,8,0
13,25,7,2022,3,9957000029,62,807.79,20,0
23,22,11,2022,1,9957000774,44,9202.44,17,1
12,10,4,2024,4,9957000194,55,3913.57,25,0
21,3,10,2022,11,9957000389,35,9583.2,28,0
15,27,8,2024,13,9957000853,51,7129.17,11,1
3,14,8,2022,13,9957000170,31,7871.38,25,0
13,5,2,2022,1,9957000706,37,4213.37,16,1
19,28,11,2022,10,9957000141,45,7539.96,13,0
15,10,10,2023,9,9957000174,44,9536.94,19,0
8,20,12,2023,2,9957000007,29,5701.16,15,0
16,1,9,2022,5,9957000746,64,9869.57,5,1
6,26,3,2022,14,9957000479,21,9181.18,6,0
1,3,12,2024,8,9957000074,52,6941.36,7,0
16,6,5,2023,11,9957000911,30,8176.76,21,1
23,6,4,2022,1,9957000814,20,1671.18,14,1
22,2,10,2022,4,9957000239,53,4820.55,26,0
11,5,8,2024,11,9957000146,60,4328.68,26,0
13,8,1,2022,10,9957000793,59,6608.08,13,1
0,14,8,2023,13,9957000235,39,5127.28,13,0
18,22,8,2024,14,9957000221,47,3255.32,16,0
1,23,4,2024,7,9957000924,62,9737.6,11,1
10,24,11,2024,11,9957000501,27,5060.35,2,1
20,20,11,2023,5,9957000133,26,9271.62,13,0
10,10,1,2024,5,9957000991,56,9871.03,4,1
3,6,8,2023,13,9957000775,28,2900.4,18,1
8,26,10,2022,4,9957000186,32,7287.59,15,0
19,27,3,2023,7,9957000042,27,2743.77,23,0
4,28,10,2022,4,9957000697,36,8975.28,18,1
23,1,10,2024,2,9957000109,22,5858.06,24,0
23,8,10,2022,14,9957000589,50,6311.43,9,1
12,6,5,2023,9,9957000057,38,6426.59,2,0
9,24,9,2023,10,9957000406,61,5257.67,15,0
4,21,3,2023,11,9957000443,20,4123.98,15,0
8,13,3,2023,8,9957000758,19,2211.88,21,1
19,20,4,2024,2,9957000998,55,8863.61,3,1
15,6,2,2023,10,9957000025,44,7229.25,7,0
21,1,4,2022,13,9957000468,33,3680.21,22,0
2,11,6,2023,11,9957000540,21,8701.46,7,1
21,13,7,2022,12,9957000532,53,9993.6,8,1
21,1,1,2024,5,9957000619,44,1114.18,10,1
23,8,5,2022,9,9957000695,45,3848.21,24,1
8,14,3,2022,12,9957000927,18,5759.15,21,1
10,2,9,2022,2,9957000339,43,5171.1,2,0
0,21,11,2022,5,9957000052,30,5131.21,14,0
3,13,8,2022,9,9957000508,47,6649.25,15,1
1,23,2,2023,13,9957000517,54,7544.22,8,1
11,24,11,2024,8,9957000921,55,2712.15,15,1
17,5,5,2024,14,9957000782,39,8370.18,5,1
4,1,9,2024,14,9957000265,32,5191.77,27,0
15,26,5,2022,9,9957000818,31,1684.68,22,1
22,4,5,2023,13,9957000711,39,5125.09,21,1
17,2,7,2022,8,9957000683,51,6378.11,15,1
3,21,10,2024,8,9957000833,41,376.36,8,1
19,20,9,2023,8,9957000519,40,3046.54,19,1
21,4,12,2022,10,9957000448,50,574.41,18,0
16,3,11,2024,2,9957000019,34,1807.95,13,0
8,18,1,2024,10,9957000716,56,8396.03,27,1
16,18,12,2022,12,9957000484,30,5135.57,25,0
19,1,1,2024,1,9957000569,24,2305.03,16,1
9,2,2,2023,3,9957000434,57,3413.77,21,0
14,23,12,2024,3,9957000368,37,5970.65,18,0
22,22,5,2023,14,9957000084,56,6654.56,7,0
7,20,4,2022,12,9957000062,37,4367.12,5,0
22,7,5,2023,7,9957000639,60,1145.83,6,1
10,1,12,2024,11,9957000273,47,2071.79,21,0
14,10,1,2022,5,9957000286,50,7230.34,13,0
19,21,9,2023,7,9957000361,32,7215.38,18,0
5,20,1,2022,5,9957000355,26,114.32,9,0
15,20,12,2024,2,9957000457,46,3398.67,1,0
13,23,12,2024,4,9957000279,60,9654.5,22,0
15,4,6,2022,5,9957000013,44,5556.17,22,0
4,15,12,2023,4,9957000183,26,1640.56,21,0
0,9,3,2022,8,9957000369,53,6267.19,20,0
18,25,11,2022,2,9957000882,50,520.8,7,1
13,3,8,2024,7,9957000616,49,6030.32,8,1
9,20,10,2024,7,9957000224,47,6059.85,26,0
2,17,12,2024,1,9957000573,47,809.03,1,1
20,7,7,2023,10,9957000971,44,6430.29,24,1
0,28,7,2023,13,9957000654,58,6442.49,3,1
21,24,2,2024,10,9957000546,52,5974.73,2,1
16,6,8,2022,14,9957000583,58,9111.57,22,1
7,14,1,2024,2,9957000634,47,4706.79,18,1
12,20,4,2023,2,9957000177,44,7718.2,19,0
13,3,2,2022,12,9957000666,58,4046.04,24,1
12,12,10,2023,2,9957000674,27,1996.28,6,1
4,25,5,2024,3,9957000586,32,1306.98,8,1
21,18,1,2022,1,9957000874,60,3532.13,20,1
16,15,7,2022,13,9957000394,63,3771.85,21,0
13,28,10,2024,14,9957000164,46,6054.91,14,0
20,26,3,2023,6,9957000249,62,2487.93,5,0
7,18,3,2024,1,9957000635,48,1673.57,4,1
18,5,3,2024,7,9957000886,21,5674.89,15,1
11,9,3,2024,13,9957000670,24,1253,18,1
22,28,4,2022,13,9957000376,30,5398.19,12,0
13,19,6,2024,9,9957000413,23,4463.39,10,0
9,25,9,2024,2,9957000075,55,9445.47,7,0
21,21,1,2022,6,9957000114,22,3838.02,17,0
0,24,10,2023,12,9957000599,49,1404.63,6,1
12,1,11,2022,5,9957000962,24,8325.26,26,1
21,11,10,2024,1,9957000391,26,9284.61,8,0
19,12,11,2023,4,9957000105,35,2332.71,20,0
21,14,3,2022,6,9957000115,19,3340.28,13,0
17,26,7,2024,13,9957000418,22,4013.9,21,0
1,19,12,2024,12,9957000526,18,2450.28,12,1
20,6,9,2022,6,9957000458,27,2839.06,6,0
4,8,6,2023,12,9957000410,59,8356.87,13,0
1,19,8,2022,1,9957000093,31,8936.98,4,0
16,7,3,2023,11,9957000931,40,4034.59,8,1
21,26,10,2024,1,9957000090,18,2204,2,0
10,2,6,2022,12,9957000337,64,9381.56,6,0
8,8,2,2023,4,9957000989,25,2864.99,18,1
5,16,6,2022,3,9957000922,30,775.31,11,1
3,22,12,2022,4,9957000934,36,5645.09,10,1
6,18,10,2023,10,9957000606,41,298.22,16,1
15,19,9,2023,4,9957000594,64,1870.51,16,1
8,6,11,2023,14,9957000612,44,8544.06,5,1
20,10,10,2024,9,9957000095,64,7416.04,17,0
4,21,9,2024,13,9957000012,37,9349.18,10,0
12,1,7,2023,8,9957000397,19,2642.05,7,0
11,16,3,2024,6,9957000534,34,8902.78,25,1
6,28,7,2023,14,9957000044,18,6138.35,16,0
16,21,7,2023,9,9957000043,40,2045.58,12,0
13,26,9,2023,1,9957000330,44,6819.76,16,0
15,21,8,2022,12,9957000168,44,9900.86,14,0
11,9,9,2023,2,9957000498,52,138.87,7,0
2,1,4,2024,13,9957000877,60,7251.73,19,1
12,26,8,2024,8,9957000598,39,2726.43,12,1
16,18,5,2022,4,9957000757,58,7191.5,9,1
11,9,10,2022,14,9957000101,37,6304.21,25,0
22,11,2,2024,12,9957000427,58,2749.6,3,0
5,18,12,2022,7,9957000179,37,3921.3,25,0
4,4,1,2022,7,9957000445,55,1075.6,16,0
10,24,10,2023,9,9957000417,18,3668.63,1,0
23,19,12,2023,7,9957000871,37,2616.97,7,1
17,10,8,2022,10,9957000883,55,7653.44,9,1
3,5,5,2022,6,9957000681,27,7236.92,14,1
13,6,5,2023,1,9957000178,24,6374.05,20,0
1,27,9,2022,4,9957000396,49,7054.12,9,0
14,16,6,2022,4,9957000912,47,6435.81,6,1
16,15,1,2023,12,9957000794,40,5019.59,8,1
12,24,12,2022,14,9957000961,34,4697.36,2,1
3,10,5,2024,3,9957000685,63,7680.66,14,1
12,3,3,2023,8,9957000384,27,6922.16,3,0
0,11,9,2024,7,9957000957,25,9958.69,10,1
14,8,12,2022,5,9957000752,22,4265.28,16,1
5,11,10,2024,12,9957000258,57,5752.6,25,0
9,27,11,2023,10,9957000539,44,1241.42,21,1
18,16,8,2023,5,9957000336,41,7311.65,15,0
22,4,8,2022,4,9957000016,49,471.44,26,0
18,12,2,2024,12,9957000325,24,4141.44,24,0
5,5,11,2023,8,9957000759,53,3758.86,5,1
14,24,3,2023,2,9957000223,34,3353.51,2,0
